Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
ABCP11;Shoppings;72.01;0.098;0.0935;0.78;878798000;78309;1;10109.5;1126.44;0.1114;0.0395
AFHI11;Títulos e Val. Mob.;94.34;0.0858;0.1559;0.99;284855000;844259;0;0;0;0;0
AGRX11;Híbrido;10.35;0.0476;0.0325;1;48910500;15035;0;0;0;0;0
AIEC11;Lajes Corporativas;71.65;0.1165;0.124;0.7;345710000;564181;2;14750.8;2064.43;0.14;0
ALMI11;Lajes Corporativas;920;0.0148;0;0.41;102283000;164370;1;2273.99;166.13;0.0731;0.589
ALZM11;Títulos e Val. Mob.;87.9;0.1268;0.0366;0.89;60755800;72790;0;0;0;0;0
ALZR11;Híbrido;114.89;0.0666;0.1181;1.07;795373000;1202040;12;5362.58;542.72;0.1012;0
ANCR11B;Shoppings;3450;0.0942;0.0706;1.01;1556340000;82;3;15055.2;1901.54;0.1263;0.0902
APTO11;Híbrido;8.89;0.1117;0.1282;0.88;35674300;39845;6;13782.9;606.4;0.044;0
ARCT11;Híbrido;89.76;0.1361;0.1827;0.9;332845000;1360760;9;343.16;28.09;0.0818;0
ARRI11;Títulos e Val. Mob.;8.92;0.1452;0.1756;0.96;107107000;378799;0;0;0;0;0
ASMT11;Híbrido;76.26;0.1337;0.03;0.86;77580500;4774;3;7155.88;721.05;0.1008;0
ATSA11;Shoppings;80.06;0.0199;0.0019;0.89;140196000;1063;1;4133.45;103.17;0.025;0.2164
BARI11;Títulos e Val. Mob.;93.43;0.1296;0.1537;0.93;432972000;845821;1;0;0;0;0
BBFI11B;Lajes Corporativas;1918.12;0.1808;0.1678;0.67;249356000;321925;2;2785.62;554.54;0.1991;0
BBFO11;Títulos e Val. Mob.;69.5;0.1642;0.1291;0.81;278271000;240382;0;0;0;0;0
BBGO11;Títulos e Val. Mob.;84.4;0.0591;0.0626;0.86;338036000;232996;0;0;0;0;0
BBPO11;Lajes Corporativas;89.04;0.1232;0.1199;0.89;1417490000;1413320;63;3625.44;494.06;0.1363;0
BBRC11;Outros;95.35;0.1169;0.1192;0.89;151606000;130926;20;9439.5;1470.87;0.1558;0
BCFF11;Títulos e Val. Mob.;66.49;0.1106;0.0982;0.85;1674640000;2583410;0;0;0;0;0
BCIA11;Títulos e Val. Mob.;85.11;0.1201;0.0986;0.79;316527000;368606;0;0;0;0;0
BCRI11;Títulos e Val. Mob.;97.01;0.1556;0.1553;0.95;607076000;766950;0;0;0;0;0
BICE11;Títulos e Val. Mob.;950;0.0776;0.1078;0.98;20017400;589;0;0;0;0;0
BICR11;Títulos e Val. Mob.;96.09;0.1172;0.0903;0.95;48045000;1059;0;0;0;0;0
BIME11;Híbrido;8;0.124;0.1202;0.88;46764800;186398;2;1262.57;0;0;0
BLCA11;Lajes Corporativas;89.9;0.052;0.0464;1;143840000;128711;1;44731;2227.62;0.0498;0
BLCP11;Logística;91;0.0541;0.0615;0.81;208962000;39369;2;3014.16;199.89;0.0663;0
BLMC11;Títulos e Val. Mob.;82.22;0.1281;0.1557;0.84;32846900;8092;0;0;0;0;0
BLMG11;Outros;74.81;0.1182;0.1297;0.81;285070000;598492;2;423.28;59.75;0.1412;0
BLMO11;Lajes Corporativas;20000;0.0087;0.0108;0.68;75940000;19048;1;11767.2;377.58;0.0321;0
BLMR11;Títulos e Val. Mob.;7.23;0.148;0.1229;0.86;184666000;499316;0;0;0;0;0
BLUR11;Títulos e Val. Mob.;101.5;0.0221;0.0804;0.99;9135000;622;0;0;0;0;0
BMLC11;Híbrido;104.5;0.0807;0.0822;0.96;104333000;138398;2;14095.3;1249.78;0.0887;0.0172
BNFS11;Outros;121.99;0.1314;0.1348;1.23;85393000;115134;18;7874.16;1243.3;0.1579;0
BPFF11;Outros;64.63;0.1749;0.122;0.83;290339000;591831;0;0;0;0;0
BPML11;Shoppings;66.75;0.0597;0.0486;0.54;287364000;23507;4;3682530;634390.81;0.1723;0.0599
BPRP11;Outros;95;0.1082;0.1078;0.88;128235000;84;1;5556.12;625.85;0.1126;0
BRCO11;Logística;99.35;0.0807;0.0792;0.83;1468270000;3731680;11;3284.13;308.01;0.0938;0
BRCR11;Híbrido;59;0.0963;0.0979;0.59;1571650000;1888730;9;10381.5;1175.58;0.1132;0.1371
BREV11;Híbrido;108.3;0.0594;0.0647;0.98;104748000;301;14;17040.5;1307.04;0.0767;0
BRLA11;Outros;144;0.0495;0.0865;0.91;380776000;1805;6;1238.85;61.92;0.05;0
BTAL11;Outros;90.17;0.0905;0.1085;0.85;539463000;1037080;9;1488.08;151.99;0.1021;0
BTCR11;Títulos e Val. Mob.;88;0.1248;0.1442;0.92;423289000;630628;0;0;0;0;0
BTLG11;Híbrido;98.67;0.0373;0.0887;1;2078670000;5540300;19;2278.07;73.06;0.0321;0.0232
BTRA11;Outros;83.05;0.1226;0.1193;0.81;279427000;577503;6;4.13;0.5;0.1202;0
BTSG11;Híbrido;100;0.1055;0.0172;0.75;77501500;2;1;4109.74;467.91;0.1139;0
BTWR11;Lajes Corporativas;105.49;0.0509;0.0441;0.94;85369900;17333;1;4195.42;230.93;0.055;0
CACR11;Híbrido;100.73;0.122;0.1898;0.97;182063000;852147;0;0;0;0;0
CARE11;Híbrido;3.35;-0.02;0;0.41;119829000;41555;2;4699.14;10.16;0.0022;0.9999
CBOP11;Lajes Corporativas;56.56;0.1482;0.1478;0.75;80032400;51225;1;4734.21;333.89;0.0705;0.4732
CCME11;Outros;102.14;0.0128;0.0083;1;254848000;8547;0;0;0;0;0
CCRF11;Títulos e Val. Mob.;97.26;0.0825;0.1351;0.99;152883000;359517;0;0;0;0;0
CEOC11;Lajes Corporativas;60.63;0.0961;0.0953;0.67;110086000;30779;1;8632.3;982;0.1138;0
CJCT11;Lajes Corporativas;69;-0.0033;0;0.81;198030000;97366;1;5864.12;284.41;0.0485;0.4168
CNES11;Lajes Corporativas;32.97;0.0347;0.0382;0.38;97236700;4710;1;1390.36;174.51;0.1255;0.546
CPFF11;Títulos e Val. Mob.;72.99;0.0621;0.0987;0.9;397779000;977544;0;0;0;0;0
CPTR11;Títulos e Val. Mob.;97.8;0.015;0.0805;0.99;404697000;2013970;0;0;0;0;0
CPTS11;Títulos e Val. Mob.;84.3;0.0009;0.1498;0.92;2679290000;6762660;0;0;0;0;0
CRFF11;Títulos e Val. Mob.;73;0.0953;0.091;0.81;50372900;101390;0;0;0;0;0
CTXT11;Lajes Corporativas;12.05;-0.1437;0;0.3;34978400;4730;1;761.48;5.79;0.0076;0.9824
CVBI11;Títulos e Val. Mob.;89.34;0.1477;0.1433;0.94;983654000;3289200;0;0;0;0;0
CXAG11;Outros;77.1;0.0736;0.0687;0.67;161187000;132818;32;2793.68;236.61;0.0847;0
CXCE11B;Lajes Corporativas;40.4;0.1086;0.1081;0.62;69203200;28253;1;3266.77;415.59;0.1272;0
CXCI11;Títulos e Val. Mob.;80.4;0.0213;0.0686;0.81;165441000;83036;0;0;0;0;0
CXCO11;Lajes Corporativas;70.44;0.1206;0.1172;0.73;276442000;180684;10;2969.29;381.2;0.1284;0
CXRI11;Títulos e Val. Mob.;68.11;0.0997;0.0939;0.77;107325000;36080;0;0;0;0;0
CXTL11;Logística;370.01;0.0133;0.0896;0.53;19831400;15482;3;801.17;105.96;0.1323;0.6515
DCRA11;Títulos e Val. Mob.;9.1;0.087;0.1116;0.95;61501700;302578;0;0;0;0;0
DEVA11;Títulos e Val. Mob.;83.75;0.0968;0.168;0.83;1164610000;3555650;0;0;0;0;0
DPRO11;Híbrido;99.98;0.0386;0.037;1.02;37142600;10000;1;2785.15;96.25;0.0346;0
DRIT11B;Lajes Corporativas;100;0.0722;0.0704;0.79;46327700;586;6;9215.58;843.64;0.0915;0.0779
DVFF11;Híbrido;71.35;0.064;0.1116;0.75;78552800;54356;0;0;0;0;0
EDFO11B;Lajes Corporativas;203;0.0915;0.094;1.06;47908000;7421;1;135989;13820.91;0.1016;0
EDGA11;Lajes Corporativas;17.66;0.0855;0.0833;0.27;67320900;34977;1;2675.31;432.79;0.1618;0.54
EGAF11;Títulos e Val. Mob.;100;0.0261;0.1299;1.02;93011400;159971;0;0;0;0;0
EQIR11;Títulos e Val. Mob.;8.98;0.1241;0.1443;0.9;45124500;131158;0;0;0;0;0
ERPA11;Lajes Corporativas;125;0.0171;0.0303;1.08;62615200;47113;10;25754;958.86;0.0372;0
EURO11;Logística;226.23;0.0943;0.0919;0.72;86857800;45427;7;734.49;76.28;0.1038;0
EVBI11;Híbrido;97.6;0.0904;0.0921;0.97;136422000;44825;7;6911.9;578.17;0.0836;0
EXES11;Títulos e Val. Mob.;103.05;0.0562;0.0327;1.01;22200600;3548;0;0;0;0;0
FAED11;Outros;151.99;0.1103;0.1116;0.7;97603100;87777;3;2567.77;301.96;0.1176;0
FAMB11B;Lajes Corporativas;845;-0.1393;0;0.28;88556000;429275;1;1523.37;0;0;1
FATN11;Híbrido;94.36;0.0808;0.1027;0.93;105077000;169775;25;26294.4;2076.48;0.079;0.0313
FCFL11;Outros;114.17;0.0867;0.0858;1.09;396628000;324902;1;12780.3;1188.94;0.093;0
FEXC11;Títulos e Val. Mob.;83.5;0.1419;0.1426;0.91;509643000;806159;0;0;0;0;0
FGAA11;Híbrido;10.03;0.0528;0.1186;1.04;341999000;1486400;0;0;0;0;0
FIGS11;Shoppings;49.99;0.0918;0.088;0.5;142472000;238845;2;2219.55;213.83;0.0963;0.1381
FIIB11;Híbrido;459;0.0922;0.0887;1.01;314415000;267266;11;564.19;58.37;0.1035;0.0069
FIIP11B;Híbrido;152.57;0.1088;0.1021;0.82;141457000;84630;7;2002.28;245.37;0.1225;0
FLCR11;Títulos e Val. Mob.;93.2;0.1791;0.1677;0.94;59051900;86672;0;0;0;0;0
FLMA11;Híbrido;123.5;0.0774;0.0767;0.79;170513000;106334;1;9748.93;851.69;0.0874;0
FLRP11;Shoppings;1565.02;0.075;0.0734;0.9;102089000;566583;1;2337.28;189.53;0.0811;0.0493
FMOF11;Lajes Corporativas;57;0.0045;0.0025;0.46;28956500;238;2;1716.21;153.59;0.0895;0.3784
FPAB11;Lajes Corporativas;188.68;0.1028;0.0971;0.46;141510000;18917;2;3085.9;444.99;0.1442;0.2562
FPNG11;Lajes Corporativas;75;0.1041;0.0971;0.44;76675800;22;6;8577.33;1069.24;0.1247;0.2354
FVPQ11;Shoppings;110.01;0.0805;0.0802;0.55;308044000;44120;1;5356.45;839.51;0.1567;0.083
GALG11;Híbrido;9.35;0.1071;0.1136;0.92;537488000;1303810;6;4955.9;459.29;0.0927;0
GAME11;Outros;9.18;0.0663;0.1071;0.93;189108000;255601;0;0;0;0;0
GCFF11;Títulos e Val. Mob.;71.26;0.128;0.1736;0.83;24128500;50802;0;0;0;0;0
GCRA11;Títulos e Val. Mob.;98.2;0.0468;0.1314;1;171935000;282389;0;0;0;0;0
GCRI11;Títulos e Val. Mob.;92.23;0.1261;0.1668;0.95;109827000;110594;0;0;0;0;0
GGRC11;Logística;116.86;0.09;0.0916;0.94;906650000;1373140;16;1210.68;110.56;0.0913;0
GSFI11;Shoppings;5.05;0;0;0.37;379751000;65688;0;0;0;0;0
GTLG11;Logística;97.9;0.0726;0.0852;1.04;702237000;34568;5;4027.03;263.47;0.0654;0.0557
GTWR11;Lajes Corporativas;77.55;0.1154;0.1125;0.79;930600000;1110660;3;10351.7;1276.24;0.1233;0
HAAA11;Lajes Corporativas;83.5;0.0836;0.0783;0.92;288493000;1209;2;19593.6;1632.01;0.0833;0.1693
HABT11;Títulos e Val. Mob.;88.9;0.087;0.163;0.89;722471000;2295360;0;0;0;0;0
HBCR11;Outros;109.3;0.0887;0.0694;1.04;83286600;784652;4;6749.72;441.14;0.0654;0
HBRH11;Híbrido;92.5;0.1005;0.0973;0.82;256429000;50944;5;8498.71;880.92;0.1037;0.0283
HCHG11;Outros;87;0.0595;0.1194;0.87;104400000;42643;0;0;0;0;0
HCRI11;Hospital;219;0.1116;0.1014;0.73;43800000;55207;1;7919.03;1178.32;0.1488;0
HCTR11;Títulos e Val. Mob.;98.7;0.0945;0.1714;0.81;2179710000;5721580;0;0;0;0;0
HFOF11;Títulos e Val. Mob.;70.11;0.1049;0.103;0.82;1612530000;1256960;0;0;0;0;0
HGAG11;Outros;103.58;-0.0112;0.0119;1.01;25713900;41214;0;0;0;0;0
HGBS11;Shoppings;190.53;0.0795;0.0769;0.87;1905300000;2252520;12;3612.56;300.67;0.0832;0.0531
