Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
AESB3;9.81;-1443.07;1.41;2.086;0.009;0.389;1.98;11.53;-1.04;20.23;10.25;0.181;0.0537;3.63;0.0448;-0.001;20192400;4175170000;1.89;13.024
ONCO3;7.34;-382.42;1.82;1.005;0;0.503;5.94;10.58;-1.39;17.51;11.79;0.0949;0.0109;1.42;0.0557;-0.0047;7053540;2014190000;1.48;0
RAIL3;18.91;-316.18;2.33;3.839;0.001;0.77;7.63;15.86;-1.75;20.46;10.84;0.2421;-0.0124;1.83;0.0577;-0.0074;287566000;15061000000;1.11;0.077
DMMO3;1.82;-252.76;-1.68;2.789;0;3.27;11.63;6.23;-1.34;5.75;5.29;0.4481;-0.011;2.25;0.7039;0.0066;19918900;-553275000;0;-0.1737
ELMD3;10.16;-173.46;1.92;2.033;0;0.713;-7.09;16.34;-1.89;22.52;10.29;0.1244;0.0024;0.64;0.0504;-0.0111;3007740;739445000;0.91;1.011
HAPV3;5.3;-145.33;0.77;1.908;0.0006;0.532;140.87;-106.96;-2.5;-126.69;31.22;-0.0178;-0.013;1.04;-0.0053;-0.0053;420978000;49053700000;0.22;0.5325
TPIS3;1.26;-81.2;0.24;0.194;0.0148;0.073;-0.66;1.11;-0.12;9.26;4.21;0.1758;-0.0045;0.34;0.0696;-0.0029;1700960;926523000;1.85;-0.0166
CSAB3;41;-79.43;1.65;66.43;0.0248;0.811;0;-34.02;0;0;0;-19.525;-0.8363;0;0;-0.0208;992.86;190979000;0;-0.2884
CSAB4;41;-79.43;1.65;66.43;0.0273;0.811;0;-34.02;0;0;0;-19.525;-0.8363;0;0;-0.0208;1173.93;190979000;0;-0.2884
YDUQ3;11.23;-73.28;1.15;0.769;0.0113;0.349;2.34;6.37;-0.86;13.98;6.11;0.1207;-0.0101;2.07;0.0669;-0.0157;101314000;3024090000;1.89;0.066
MGLU3;3.42;-62.37;2.14;0.65;0;0.642;3.05;26.88;-5.19;32.75;14.85;0.0242;-0.0104;1.58;0.034;-0.0343;847664000;10805300000;0.66;0.2794
MAPT4;10.21;-52.71;-1.55;0;0;12.138;-4691.5;-66.08;-1.37;-66.08;-66.08;0;0;0;-0.1842;0.0293;128.02;-6073000;0;0
MTIG4;23;-52.59;-30.96;72.916;0;35.553;-23.24;-94.24;-18.86;-97.68;-108.19;-0.7737;-13.864;0.15;-0.4486;0.5887;1193.74;-90894800;-1.13;-0.262
ESPA3;1.37;-49.23;0.72;0.606;0;0.238;1.71;10.17;-0.76;26.81;10.47;0.0595;-0.0165;1.65;0.0245;-0.0147;8923850;684239000;1.29;0.0843
HBSA3;2.5;-48.6;1.3;1.264;0;0.284;2.26;10.84;-0.5;33.45;11.08;0.1165;-0.026;2.36;0.0307;-0.0268;10735600;1461770000;3.28;0.1899
ORVR3;39.53;-44.75;6.84;4.692;0;1.673;38.21;28.91;-3.2;34.86;16.28;0.1623;-0.0896;1.25;0.0615;-0.1529;16889900;412995000;1.48;0.5721
AERI3;1.58;-34.42;1.29;0.504;0.0131;0.35;0.97;6.86;-5.22;10.92;8.35;0.0735;-0.0146;2.19;0.0855;-0.0373;9177640;942087000;1.67;-0.0921
CBEE3;14;-33;0.71;0.407;0.0059;0.201;-1.4;2.76;-0.39;6.69;4.6;0.1477;-0.0123;0.58;0.0796;-0.0215;1186.9;4749900000;1.05;0.1148
SMFT3;15.23;-32.38;2.15;3.403;0;0.804;5.14;127.83;-2.43;133.04;9.83;0.0266;-0.1036;2.14;0.0086;-0.0665;21714900;4147930000;0.74;0.1998
DASA3;16.05;-26.5;1.22;0.718;0.0183;0.358;7.92;12.86;-0.82;24.04;9.27;0.0559;-0.0271;1.2;0.0322;-0.0462;3849400;7352800000;1.36;0.3766
VIIA3;2.24;-23.87;0.65;0.119;0;0.105;-1.01;1.68;-0.27;5.47;3.6;0.0707;-0.005;0.81;0.083;-0.0272;249566000;5505000000;1.69;0.0475
AGXY3;8.93;-23.21;1.19;0.143;0.0188;0.175;1.54;3.21;-5.05;5.64;4.68;0.0443;-0.0061;1.16;0.1133;-0.0513;525419;1282050000;1.52;0.8742
RCSL3;1.9;-23.18;-1.85;1.023;0;1.096;11.83;341.39;-0.97;337.1;54.13;0.003;-0.044;1.25;0.0034;0.0796;590998;-39014000;0;15.121
ZAMP3;5.98;-22.21;1.13;0.47;0;0.412;11.22;22.28;-1.07;29.44;4.54;0.0211;-0.0211;1.17;0.023;-0.0509;11804600;1456990000;0.74;0.0956
SCAR3;23.5;-20.7;0.9;4.48;0.0061;0.367;4.25;9.43;-0.84;22.07;15.56;0.4751;-0.2253;2.25;0.0423;-0.0436;87465;1503850000;1.41;-0.1453
