Ticker;Open;High;Low;Close;52w High;52 Low
AESB3;10.08;10.17;9.76;9.81;12.3;9.18
ONCO3;7.52;7.56;7.25;7.34;12.33;4.03
RAIL3;19.93;19.93;18.71;18.91;22.34;14.7
DMMO3;1.84;1.85;1.82;1.82;1.95;0.42
ELMD3;10.2;10.59;9.92;10.16;17.48;9.2
HAPV3;5.56;5.63;5.24;5.3;13.1;5.01
TPIS3;1.32;1.33;1.26;1.26;2.17;1.02
CSAB3;41;41;41;41;55;41
CSAB4;41;41;41;41;50.01;38.19
YDUQ3;11.81;11.83;11.18;11.23;24.55;10.55
MGLU3;3.6;3.62;3.32;3.42;9.04;2.03
MAPT4;10.2;10.21;10.2;10.21;42;10.2
MTIG4;15.9;15.9;15.85;15.85;19.32;15.09
ESPA3;1.48;1.49;1.36;1.37;9.3;1.32
HBSA3;2.63;2.63;2.5;2.5;3.71;1.99
ORVR3;40.93;40.93;39.06;39.53;47.53;21.64
AERI3;1.6;1.62;1.54;1.58;8.16;1.47
CBEE3;14.03;14.03;14;14;24.43;14
SMFT3;16.32;16.47;15.15;15.23;23.51;9.63
DASA3;16.4;16.44;15.79;16.05;35.91;14.34
VIIA3;2.37;2.37;2.22;2.24;6.11;1.76
AGXY3;9.04;9.13;8.8;8.93;12.42;6.46
RCSL3;1.86;1.9;1.84;1.9;12.66;1.79
ZAMP3;6.2;6.26;5.9;5.98;8.87;5.06
SCAR3;23.4;23.5;23.11;23.5;41.83;22.7
LIGT3;5.89;5.94;5.65;5.7;12.43;5
AALR3;20.46;20.57;20.31;20.45;21.35;12.41
TRAD3;1.96;2.01;1.9;1.9;8.4;1.85
DTCY3;6.25;6.25;5.91;5.91;8.2;5.01
COGN3;2.36;2.37;2.26;2.28;3.48;1.95
CASH3;1.18;1.22;1.15;1.17;3.98;1.01
CEAB3;2.43;2.46;2.31;2.34;7.03;2.12
NTCO3;12.15;12.2;11.43;11.45;29.39;11.43
CLSA3;5.42;5.56;5.35;5.48;13.45;3.41
RCSL4;0.85;0.89;0.83;0.87;2.94;0.78
SHOW3;2.56;2.59;2.43;2.43;4.87;2.4
EMBR3;14.5;14.64;14.3;14.31;25.62;10.75
CTKA3;21.72;21.72;21.72;21.72;30.97;18.5
KRSA3;1.39;1.43;1.31;1.32;5.54;1.31
BRFS3;10.54;10.66;10.16;10.19;25.46;9.96
PEAB4;72.01;72.01;72.01;72.01;87.51;60.5
IFCM3;5;5.07;4.72;4.8;16.87;3.22
SEER3;6.22;6.22;5.66;5.69;12.3;5.5
GFSA3;6.65;6.69;6.17;6.24;21.51;6.13
SEQL3;3.57;3.75;3.48;3.65;16.17;2.99
TELB3;16.15;16.15;16.15;16.15;74.01;15.09
MEAL3;2.27;2.3;2.21;2.27;3.18;1.51
TCNO3;1.21;1.22;1.2;1.2;3.12;0.95
CRDE3;18;18;18;18;29.08;15.02
NINJ3;2.49;2.59;2.45;2.59;6.35;2.4
BLUT3;5.14;5.23;5;5.14;11;3.6
BOBR4;1.37;1.39;1.34;1.38;1.86;1.16
PEAB3;45.01;45.01;45;45.01;63.05;44.52
AHEB3;20;20;20;20;32.5;17
ANIM3;5.03;5.03;4.57;4.57;9.21;3.57
NORD3;5.9;5.9;5.9;5.9;16;5.5
TCNO4;0.93;0.94;0.85;0.85;2.16;0.65
TELB4;9.83;10;9.82;10;20.72;9.48
BIOM3;5.84;5.84;5.66;5.67;14.94;5.6
ADHM3;0;0;0;0;0;0
TXRX3;16.21;16.21;16.21;16.21;34;16.2
LUPA3;3.51;3.6;3.27;3.31;6.95;2.6
CTKA4;8.98;8.99;8.98;8.99;23;8
BAHI3;13.2;13.5;13.2;13.5;16.8;9.11
TCSA3;3.31;3.31;2.99;3.1;4.4;1.79
MBLY3;2.75;2.78;2.58;2.6;6.93;2.05
CEDO3;6;6.06;6;6.06;8.48;5.45
CVCB3;5.33;5.39;5;5.03;17.97;5
VIVR3;0.53;0.56;0.52;0.54;1.7;0.39
CTSA3;3.36;3.66;3.36;3.37;11.53;3.15
AMAR3;1.57;1.59;1.49;1.5;4.45;1.47
DOTZ3;1.68;1.73;1.65;1.65;4.4;1.65
ALPK3;1.91;1.93;1.82;1.83;6.02;1.38
ESTR4;39.99;39.99;39.99;39.99;59;39.9
WEST3;0.94;0.97;0.91;0.97;4.04;0.88
ENJU3;1.09;1.09;1.03;1.04;3.95;0.97
FRIO3;31;31;31;31;50.59;30.14
IRBR3;0.8;0.84;0.78;0.78;4.49;0.74
AZUL4;12.75;12.94;12.37;12.46;29.92;11.06
CEDO4;3.98;4.05;3.98;3.98;6.71;3.94
BRPR3;6.09;6.09;5.91;5.97;7.01;4.3
FRTA3;3.09;3.09;2.91;2.93;6.49;2.56
HETA4;4.33;4.33;4.05;4.05;17.44;4
BLUT4;1.57;1.6;1.52;1.52;4.2;1.33
LLIS3;1.78;1.79;1.61;1.68;2.18;1.17
CTSA4;1.96;2.14;1.96;2.03;6.03;1.87
PLAS3;9.45;9.81;9.45;9.81;12.5;6
CTNM3;6.7;6.7;6.7;6.7;12.91;6.15
OIBR4;0.53;0.56;0.53;0.54;1.86;0.47
IGBR3;31.62;31.62;31.5;31.5;60.32;13.95
NEXP3;0.4;0.4;0.36;0.37;1.36;0.36
TEND3;5.04;5.07;4.75;4.89;19.43;3.68
TXRX4;3.32;3.32;3.32;3.32;10;3.2
GOLL4;8.28;8.29;7.92;7.95;20.05;7.42
GPIV33;3.2;3.2;2.9;3.02;6.88;2.71
JFEN3;0.76;0.79;0.73;0.75;2.05;0.68
OIBR3;0.21;0.23;0.2;0.21;1.16;0.15
CTNM4;2.02;2.02;1.95;1.95;4.69;1.87
SGPS3;1.94;1.99;1.86;1.9;6.37;1.85
PMAM3;6.11;6.2;5.92;6.05;11.04;5.7
AVLL3;5.19;5.49;5;5.49;32.87;5
GSHP3;21.03;21.03;21.03;21.03;37.55;21.03
RSID3;2.6;2.71;2.38;2.41;9.97;1.78
MNDL3;37.51;37.51;37.5;37.5;48.35;18.5
SNSY5;3.39;3.39;3.2;3.2;5.58;2.35
RPMG3;1.79;1.79;1.77;1.77;3.65;1.72
TEKA4;24.8;24.99;23.85;24.99;25;7.56
ATMP3;1.3;1.3;1.2;1.23;3.58;0.98
OSXB3;7.2;7.36;6.91;6.91;13.74;4.6
OPCT3;2.69;2.84;2.61;2.76;3.73;1.61
PDGR3;0.3;0.31;0.28;0.28;2.05;0.28
INEP4;1.09;1.2;1.05;1.11;1.93;0.51
SLED4;2.92;2.92;2.92;2.92;12.28;2.82
HOOT4;1.34;1.37;1.34;1.34;3.3;1.32
INEP3;1.2;1.34;1.18;1.26;1.96;0.5
SLED3;8.12;8.12;8.12;8.12;26.25;8.1
SYNE3;4.57;4.64;4.5;4.54;7.94;3.95
MWET4;10.22;10.22;10.01;10.2;18.24;8.31
MGEL4;13.25;13.25;13.25;13.25;19.75;12
MNPR3;6.44;6.44;6.14;6.36;8.7;5.1
MRFG3;9.83;9.95;9.58;9.62;22.58;9.37
BRAP3;24.62;25.16;24.1;24.1;28.56;17.72
PETR4;24.26;24.33;23.6;23.86;33.59;14.89
BRAP4;27.22;27.53;26.6;26.79;33.03;19.03
EUCA4;7.4;7.41;7.34;7.35;10.86;7.08
USIM5;7.82;7.92;7.54;7.61;16.66;6.89
USIM3;7.67;7.8;7.45;7.63;15.08;7.13
PETR3;28.08;28.08;27.22;27.49;37.43;15.6
MWET3;29.98;29.98;29.98;29.98;35.1;16.05
GOAU3;11.31;11.54;11.14;11.18;11.65;7.97
FHER3;15.86;16.18;15.4;16.05;23.75;12.6
BAZA3;52.17;52.17;50.52;51.94;54;32.08
BDLL4;8.87;8.87;8.87;8.87;11.5;7.85
RNEW11;6.25;6.29;6.01;6.02;9;4.4
RNEW4;2.07;2.1;1.95;2.01;3;1.3
EPAR3;10.71;10.71;10.7;10.7;17.48;10
JBSS3;23.6;24.07;23.13;23.32;37.21;22.91
RNEW3;2.09;2.09;2.03;2.06;2.99;1.6
EUCA3;10.93;10.93;10.77;10.77;16.84;10.11
TASA3;13.69;13.84;13.5;13.71;24.69;12.88
GOAU4;13.03;13.35;12.9;13.02;13.35;8.48
HBRE3;5.11;5.11;4.92;5.01;10.3;3.82
PCAR3;18.69;18.83;18.13;18.26;25.87;14.84
GGBR3;24.16;24.81;23.85;24;25.2;15.21
TASA4;14.01;14.13;13.75;14;24.76;13.31
DMFN3;12.75;12.75;12.75;12.75;18.5;11
BNBR3;71.3;74.5;71.3;74.5;87.91;62.56
BDLL3;12;12;12;12;13.19;9.85
BBAS3;35.11;35.23;33.92;34.21;43.91;25.44
GGBR4;29.76;30.22;29.13;29.37;30.22;19.24
BALM4;9.4;9.4;9.4;9.4;13.73;9.02
ETER3;10.88;10.92;10.26;10.29;20.5;8.83
VALE3;82;82.88;80.68;80.9;98.06;61.8
TKNO4;61.61;65;61.61;65;78.69;45.98
CEBR3;10.14;10.14;9.89;9.98;15.78;9.89
HAGA4;1.18;1.26;1.11;1.11;2.42;1.11
CLSC3;50.49;50.5;50.49;50.5;67.54;47.35
CEBR5;10.06;10.45;10.05;10.12;15.12;9.8
CEBR6;10.34;10.34;10.15;10.3;14.59;9.09
EALT4;7.39;7.4;7.3;7.4;9.45;5.14
JALL3;7.89;8.06;7.7;7.77;11.17;6.48
MOVI3;9.64;9.69;8.96;8.96;18.08;8.61
USIM6;16.2;16.2;16.2;16.2;20.26;13.56
ENAT3;13.98;14.23;13.45;13.65;24.38;11.02
SUZB3;55.9;56.65;54.48;54.94;63.82;41.9
GPAR3;45.04;45.04;45.04;45.04;50;17.73
DEXP4;6.11;6.11;5.88;5.88;9.01;5.64
AURA33;31.5;32.24;30.39;30.75;52.91;26.73
PTNT4;6.05;6.15;5.97;6.1;6.78;3.99
CBAV3;11.08;11.17;10.63;10.82;24.48;9.19
BALM3;11.1;11.1;11.1;11.1;18.25;10.6
MYPK3;14.11;14.55;14.04;14.13;18.36;10.78
FESA4;56.73;57.12;55.06;55.06;58.65;36.37
CLSC4;56;58.5;54.7;58.5;68.88;49.16
LOGG3;19;19;18.05;18.07;30.6;17.08
TECN3;2.07;2.17;2.06;2.1;3.22;1.86
EALT3;7.66;8.29;7.66;8.29;13.15;7
MDNE3;5.71;5.71;5.5;5.6;7.87;4.26
NEOE3;15.97;16.21;15.75;15.81;19.15;13.32
FESA3;56.88;57.22;56.88;57.22;61;41.44
CAMB3;6.55;6.79;6.28;6.79;7.7;3.86
JHSF3;5.74;5.75;5.44;5.51;7.92;4.31
UCAS3;2.58;2.69;2.54;2.67;4.59;2.3
KLBN4;4.26;4.3;4.14;4.15;4.94;3.34
UNIP3;86.01;87.34;84.72;85.5;98.82;66.93
KLBN11;21.39;21.52;20.71;20.82;25.75;16.82
KLBN3;4.3;4.32;4.17;4.18;6.26;3.48
SOND5;32.02;32.02;32.02;32.02;49.5;27.87
SOND6;32.35;32.35;32.35;32.35;43;30.07
SAPR3;3.58;3.66;3.54;3.64;4.02;3.17
MTSA4;45.6;45.9;45.4;45.9;47;33.63
PFRM3;3.52;3.56;3.4;3.46;6.15;3.04
CGRA4;30.21;30.21;29.51;29.51;41.59;25.16
BMKS3;254.1;261.9;242.05;249;350;195.6
AFLT3;9.49;9.49;9.49;9.49;10.5;8.02
DEXP3;7.26;7.37;7.1;7.11;10.73;5.86
SAPR4;3.85;3.91;3.8;3.85;4.11;3.34
CGRA3;30.44;30.8;30.4;30.8;40.95;25.75
SAPR11;19.07;19.42;18.89;19.39;20.58;16.48
RAPT3;8.74;8.74;8.48;8.5;12.49;7.65
ATOM3;2.43;2.43;2.31;2.35;3.23;2.11
UNIP6;97.96;99.88;96.53;97.29;111.69;64.94
UNIP5;98.6;99.89;97.58;97.58;108.68;65.84
CCRO3;11.55;11.72;11.32;11.37;14.42;10.52
BEES3;5.74;5.8;5.72;5.78;5.91;4.15
DXCO3;8.62;8.66;8.09;8.15;17.32;8.09
ENBR3;21.51;21.81;21.2;21.31;24.04;18.18
BEES4;5.92;6;5.9;6;6.44;4.36
KEPL3;23.1;23.32;22.03;22.38;26.35;9.48
CEEB5;37.99;37.99;35.05;35.05;46.66;26.55
RAPT4;9.66;9.66;9.22;9.28;11.78;8.69
HBOR3;2.4;2.4;2.26;2.31;4.74;2.19
BRSR6;10.27;10.31;10;10.03;12.72;8.43
ABCB4;20.03;20.2;19.59;19.79;23.18;13.99
BMEB4;10.12;10.12;10.03;10.06;12.04;8.32
PTBL3;8.66;8.66;8.11;8.31;13.6;5.81
RANI3;8.45;8.56;8.38;8.54;9.36;4.92
TRPL4;23.47;23.53;23.06;23.19;27;22.43
ITSA4;9.03;9.07;8.8;8.83;9.92;7.13
POSI3;9.19;9.19;8.58;8.78;13.53;5.33
BMEB3;10.37;10.38;10.37;10.38;18.09;9.93
CSRN3;18.68;19.09;18.68;19.09;23.55;11.57
ITSA3;9.27;9.27;9.05;9.23;10.01;7.57
BBDC3;13.36;13.4;13.09;13.18;17.7;12.69
CEEB3;37.51;38.5;37.51;38.5;43.59;25.63
ROMI3;14.96;15.04;14.15;14.34;17.54;9.71
MELK3;3.58;3.59;3.42;3.42;4.69;3.28
MLAS3;3.6;3.6;3.41;3.5;8.37;3.38
BRSR3;11.35;11.35;11.08;11.2;13.66;10.37
LEVE3;29.39;29.95;28.54;28.75;30.6;20.05
AGRO3;27.48;27.75;27.1;27.5;31.93;19.68
EKTR4;35;35.51;35;35.51;37.72;19.01
PRNR3;6.56;6.59;6.25;6.41;7.69;5.01
BMGB4;2.26;2.39;2.23;2.25;3.1;2.13
COCE5;43.22;43.95;43.22;43.55;56.37;35
ENGI4;7.76;7.9;7.52;7.53;8.69;6.33
CALI3;8.8;8.8;8.8;8.8;11;5
EQMA3B;0;0;0;0;0;0
EKTR3;36.87;36.87;36.87;36.87;36.87;25.44
CMIG4;11.44;11.47;11.03;11.13;12.89;8.51
SHUL4;4.74;4.79;4.66;4.71;5.07;3.52
CYRE3;14.37;14.4;13.62;13.82;20.63;11.55
CSRN6;21;21;21;21;24.45;12.88
TAEE3;12.31;12.39;12.11;12.12;14.06;9.78
BRIV4;9.11;9.31;8.68;9.1;10.45;5.94
SANB3;13.51;13.51;13.09;13.1;17.18;12.36
TAEE11;37.18;37.34;36.42;36.42;41.59;30.25
TAEE4;12.4;12.49;12.2;12.2;13.83;10.07
CSRN5;20.98;21.23;20.96;21.23;23.36;11.74
PTNT3;10.05;10.21;9.91;10.15;22.57;9.55
CMIN3;3.68;3.77;3.58;3.6;6.16;2.81
WLMM3;22.17;22.17;22.17;22.17;33.55;18.21
